Player,Team ID,Position,Cost (£),Selected (%),Form,Points
Samuels,5,2,4.0,0.0,0.0,0
Cahill,5,1,3.9,1.4,0.0,0
McConville,5,2,4.0,0.0,0.0,0
Slater,5,2,4.0,0.0,0.0,0
Andrey Santos,6,3,4.5,0.0,0.0,0
Ângelo,6,3,4.5,0.1,0.0,0
B.Badiashile,6,2,4.3,0.1,0.8,5
Bergström,6,1,3.9,0.2,0.0,0
Bettinelli,6,1,3.9,0.4,0.0,0
Caicedo,6,3,4.9,1.4,2.8,49
Casadei,6,3,4.4,0.1,0.0,0
Chilwell,6,2,4.7,0.5,0.0,0
Chukwuemeka,6,3,4.8,0.0,0.0,0
Colwill,6,2,4.6,5.0,2.2,35
Cucurella,6,2,5.2,6.9,4.8,42
D.D.Fofana,6,4,5.4,0.1,0.0,0
Deivid,6,4,4.9,0.1,0.0,0
Dewsbury-Hall,6,3,5.5,0.1,0.4,5
Disasi,6,2,4.2,0.4,1.6,15
Enzo,6,3,5.1,9.4,8.0,59
Gallagher,6,3,5.9,0.1,0.0,0
Gilchrist,6,2,4.0,0.0,0.0,0
Gusto,6,2,4.9,2.0,1.8,20
James,6,2,4.8,0.2,0.0,5
Kellyman,6,3,4.4,0.0,0.0,0
Lavia,6,3,4.5,0.9,0.6,15
Lukaku,6,4,6.3,0.2,0.0,0
M.Sarr,6,2,4.5,0.0,0.0,0
Madueke,6,3,6.3,7.0,5.2,75
Marc Guiu,6,4,4.7,0.5,0.0,1
Mudryk,6,3,6.2,0.2,0.0,7
N.Jackson,6,4,8.2,29.1,5.8,89
Nkunku,6,3,5.8,2.3,3.4,32
Palmer,6,3,11.2,63.6,8.8,128
Petrović,6,1,4.4,0.2,0.0,0
Renato Veiga,6,3,4.5,0.2,0.4,7
Sánchez,6,1,4.8,13.1,2.2,55
Tosin,6,2,4.2,0.2,0.8,11
W.Fofana,6,2,4.4,0.3,0.6,19
Sancho,6,3,6.2,1.4,4.0,39
Neto,6,3,6.2,0.8,0.8,29
Wiley,6,2,4.0,0.0,0.0,0
Jørgensen,6,1,4.2,0.2,0.6,3
João Félix,6,3,6.0,0.5,1.8,18
Rak-Sakyi,6,3,4.5,0.0,0.0,0
George,6,3,4.5,0.0,0.0,0
Acheampong,6,2,4.0,0.0,0.0,0
Nketiah,7,4,5.9,0.4,1.2,18
Chalobah,7,2,4.4,0.6,3.6,38
Ahamada,7,3,4.5,0.1,0.0,0
C.Doucouré,7,3,4.9,0.1,0.6,11
C.Richards,7,2,4.4,0.1,0.4,11
Chadi Riad,7,2,4.3,0.0,0.0,1
Clyne,7,2,4.3,0.1,0.4,14
Ebiowei,7,3,4.5,0.0,0.0,0
Eze,7,3,6.6,7.4,2.2,42
Guéhi,7,2,4.5,7.4,2.0,47
Henderson,7,1,4.4,10.6,3.8,55
Holding,7,2,4.3,0.1,0.0,0
Hughes,7,3,4.9,0.1,4.0,29
Kamada,7,3,5.1,0.1,0.2,15
Lerma,7,3,4.8,0.0,1.4,16
Mateta,7,4,7.2,2.4,3.6,53
M.França,7,3,4.4,0.4,0.0,0
Matthews,7,1,3.9,0.5,0.0,0
Mitchell,7,2,4.8,1.5,3.8,45
Muñoz,7,2,4.7,2.8,5.2,51
Ozoh,7,3,4.5,0.0,0.0,0
Rak-Sakyi,7,3,4.5,0.0,0.0,0
Schlupp,7,3,4.7,0.1,0.4,10
Ward,7,2,4.3,0.1,0.0,0
